ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 CT OF APPEALS JUDGE (BIGGS)   	 Loretta C. Biggs              	 DEM	  1494	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 SUPREME COURT (ORR)           	 Robert F. (Bob) Orr           	 REP	  3083	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 US HOUSE (13TH DISTRICT)      	 Alex MacDonald                	 LIB	    17	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 US HOUSE (13TH DISTRICT)      	 Brad Miller                   	 DEM	   362	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 US HOUSE (13TH DISTRICT)      	 Carolyn W. Grant              	 REP	   362	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 US HOUSE (6TH DISTRICT)       	 Howard Coble                  	 REP	  3340	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 US HOUSE (6TH DISTRICT)       	 Tara Grubb                    	 LIB	   189	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 US SENATE                     	 Elizabeth H. Dole             	 REP	  3168	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 US SENATE                     	 Erskine B. Bowles             	 DEM	  1544	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 US SENATE                     	 Paul G. DeLaney  (Write In)   	    	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 US SENATE                     	 Sean Haugh                    	 LIB	    79	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 CT OF APPEALS JUDGE (BIGGS)   	 Loretta C. Biggs              	 DEM	   245	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 CT OF APPEALS JUDGE (BIGGS)   	 Sanford L. Steelman, Jr.      	 REP	   555	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 CT OF APPEALS JUDGE (BRYANT)  	 Ann Marie Calabria            	 REP	   530	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 CT OF APPEALS JUDGE (BRYANT)  	 Wanda G. Bryant               	 DEM	   268	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 CT OF APPEALS JUDGE (CAMPBELL)	 Eric Levinson                 	 REP	   542	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 CT OF APPEALS JUDGE (CAMPBELL)	 Hugh Brown Campbell, Jr.      	 DEM	   261	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 CT OF APPEALS JUDGE (THOMAS)  	 Bill Constangy                	 REP	   545	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 CT OF APPEALS JUDGE (THOMAS)  	 Martha Geer                   	 DEM	   251	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 CT OF APPEALS JUDGE (WALKER)  	 George R. Barrett             	 DEM	   232	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 CT OF APPEALS JUDGE (WALKER)  	 Rick Elmore                   	 REP	   578	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 D CT JUDGE(15A) (ALLEN)       	 Brad Allen                    	    	   428	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 D CT JUDGE(15A) (ALLEN)       	 David Barber                  	    	   253	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 DISTRICT ATTORNEY (15A)       	 Robert F. (Rob) Johnson       	 DEM	   440	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 NC HOUSE (63)                 	 Alice Bordsen                 	 DEM	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 NC HOUSE (63)                 	 Robert E. (Rob) Sharpe, Jr.   	 REP	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 NC HOUSE (64)                 	 Cary D. Allred                	 REP	   671	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 NC SENATE  (24)               	 Bill Powell                   	 DEM	   241	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 NC SENATE  (24)               	 Hugh Webster                  	 REP	   632	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 SUPERIOR COURT JUDGE (15A)    	 J. B. Allen, Jr.              	    	   547	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 SUPERIOR COURT JUDGE (15A)    	 James C. (Jack) Spencer, Jr.  	    	   199	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 SUPREME COURT (BUTTERFIELD)   	 Edward Thomas Brady           	 REP	   612	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 SUPREME COURT (BUTTERFIELD)   	 G. K. Butterfield             	 DEM	   210	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 SUPREME COURT (ORR)           	 Bob Hunter                    	 DEM	   238	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 SUPREME COURT (ORR)           	 Robert F. (Bob) Orr           	 REP	   585	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 US HOUSE (13TH DISTRICT)      	 Alex MacDonald                	 LIB	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 US HOUSE (13TH DISTRICT)      	 Brad Miller                   	 DEM	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 US HOUSE (13TH DISTRICT)      	 Carolyn W. Grant              	 REP	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 US HOUSE (6TH DISTRICT)       	 Howard Coble                  	 REP	   757	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 US HOUSE (6TH DISTRICT)       	 Tara Grubb                    	 LIB	    42	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 US SENATE                     	 Elizabeth H. Dole             	 REP	   633	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 US SENATE                     	 Erskine B. Bowles             	 DEM	   263	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 US SENATE                     	 Paul G. DeLaney  (Write In)   	    	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 01    	 PATTERSON                                    	 US SENATE                     	 Sean Haugh                    	 LIB	    14	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 CT OF APPEALS JUDGE (BIGGS)   	 Loretta C. Biggs              	 DEM	   243	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 CT OF APPEALS JUDGE (BIGGS)   	 Sanford L. Steelman, Jr.      	 REP	   733	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 CT OF APPEALS JUDGE (BRYANT)  	 Ann Marie Calabria            	 REP	   729	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 CT OF APPEALS JUDGE (BRYANT)  	 Wanda G. Bryant               	 DEM	   246	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 CT OF APPEALS JUDGE (CAMPBELL)	 Eric Levinson                 	 REP	   720	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 CT OF APPEALS JUDGE (CAMPBELL)	 Hugh Brown Campbell, Jr.      	 DEM	   254	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 CT OF APPEALS JUDGE (THOMAS)  	 Bill Constangy                	 REP	   718	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 CT OF APPEALS JUDGE (THOMAS)  	 Martha Geer                   	 DEM	   251	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 CT OF APPEALS JUDGE (WALKER)  	 George R. Barrett             	 DEM	   251	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 CT OF APPEALS JUDGE (WALKER)  	 Rick Elmore                   	 REP	   739	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 D CT JUDGE(15A) (ALLEN)       	 Brad Allen                    	    	   604	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 D CT JUDGE(15A) (ALLEN)       	 David Barber                  	    	   373	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 DISTRICT ATTORNEY (15A)       	 Robert F. (Rob) Johnson       	 DEM	   603	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 NC HOUSE (63)                 	 Alice Bordsen                 	 DEM	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 NC HOUSE (63)                 	 Robert E. (Rob) Sharpe, Jr.   	 REP	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 NC HOUSE (64)                 	 Cary D. Allred                	 REP	   878	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 NC SENATE  (24)               	 Bill Powell                   	 DEM	   233	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 NC SENATE  (24)               	 Hugh Webster                  	 REP	   830	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 SUPERIOR COURT JUDGE (15A)    	 J. B. Allen, Jr.              	    	   785	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 SUPERIOR COURT JUDGE (15A)    	 James C. (Jack) Spencer, Jr.  	    	   318	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 SUPREME COURT (BUTTERFIELD)   	 Edward Thomas Brady           	 REP	   799	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 SUPREME COURT (BUTTERFIELD)   	 G. K. Butterfield             	 DEM	   198	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 SUPREME COURT (ORR)           	 Bob Hunter                    	 DEM	   226	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 SUPREME COURT (ORR)           	 Robert F. (Bob) Orr           	 REP	   784	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 US HOUSE (13TH DISTRICT)      	 Alex MacDonald                	 LIB	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 US HOUSE (13TH DISTRICT)      	 Brad Miller                   	 DEM	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 US HOUSE (13TH DISTRICT)      	 Carolyn W. Grant              	 REP	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 US HOUSE (6TH DISTRICT)       	 Howard Coble                  	 REP	   955	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 US HOUSE (6TH DISTRICT)       	 Tara Grubb                    	 LIB	    61	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 US SENATE                     	 Elizabeth H. Dole             	 REP	   802	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 US SENATE                     	 Erskine B. Bowles             	 DEM	   251	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 US SENATE                     	 Paul G. DeLaney  (Write In)   	    	     2	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 02    	 COBLE                                        	 US SENATE                     	 Sean Haugh                    	 LIB	    17	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 CT OF APPEALS JUDGE (BIGGS)   	 Loretta C. Biggs              	 DEM	   259	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 CT OF APPEALS JUDGE (BIGGS)   	 Sanford L. Steelman, Jr.      	 REP	   527	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 CT OF APPEALS JUDGE (BRYANT)  	 Ann Marie Calabria            	 REP	   513	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 CT OF APPEALS JUDGE (BRYANT)  	 Wanda G. Bryant               	 DEM	   273	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 CT OF APPEALS JUDGE (CAMPBELL)	 Eric Levinson                 	 REP	   529	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 CT OF APPEALS JUDGE (CAMPBELL)	 Hugh Brown Campbell, Jr.      	 DEM	   266	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 CT OF APPEALS JUDGE (THOMAS)  	 Bill Constangy                	 REP	   511	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 CT OF APPEALS JUDGE (THOMAS)  	 Martha Geer                   	 DEM	   267	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 CT OF APPEALS JUDGE (WALKER)  	 George R. Barrett             	 DEM	   257	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 CT OF APPEALS JUDGE (WALKER)  	 Rick Elmore                   	 REP	   538	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 D CT JUDGE(15A) (ALLEN)       	 Brad Allen                    	    	   473	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 D CT JUDGE(15A) (ALLEN)       	 David Barber                  	    	   247	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 DISTRICT ATTORNEY (15A)       	 Robert F. (Rob) Johnson       	 DEM	   539	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 NC HOUSE (63)                 	 Alice Bordsen                 	 DEM	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 NC HOUSE (63)                 	 Robert E. (Rob) Sharpe, Jr.   	 REP	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 NC HOUSE (64)                 	 Cary D. Allred                	 REP	   681	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 NC SENATE  (24)               	 Bill Powell                   	 DEM	   268	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 NC SENATE  (24)               	 Hugh Webster                  	 REP	   592	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 SUPERIOR COURT JUDGE (15A)    	 J. B. Allen, Jr.              	    	   575	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 SUPERIOR COURT JUDGE (15A)    	 James C. (Jack) Spencer, Jr.  	    	   229	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 SUPREME COURT (BUTTERFIELD)   	 Edward Thomas Brady           	 REP	   588	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 SUPREME COURT (BUTTERFIELD)   	 G. K. Butterfield             	 DEM	   214	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 SUPREME COURT (ORR)           	 Bob Hunter                    	 DEM	   228	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 SUPREME COURT (ORR)           	 Robert F. (Bob) Orr           	 REP	   584	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 US HOUSE (13TH DISTRICT)      	 Alex MacDonald                	 LIB	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 US HOUSE (13TH DISTRICT)      	 Brad Miller                   	 DEM	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 US HOUSE (13TH DISTRICT)      	 Carolyn W. Grant              	 REP	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 US HOUSE (6TH DISTRICT)       	 Howard Coble                  	 REP	   723	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 US HOUSE (6TH DISTRICT)       	 Tara Grubb                    	 LIB	    65	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 US SENATE                     	 Elizabeth H. Dole             	 REP	   625	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 US SENATE                     	 Erskine B. Bowles             	 DEM	   255	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 US SENATE                     	 Paul G. DeLaney  (Write In)   	    	     1	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03N   	 NORTH BOONE                                  	 US SENATE                     	 Paul G. DeLaney  (Write In)   	    	     1	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 035   	 BOONE 5                                      	 US SENATE                     	 Sean Haugh                    	 LIB	    11	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 CT OF APPEALS JUDGE (BIGGS)   	 Loretta C. Biggs              	 DEM	   263	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 CT OF APPEALS JUDGE (BIGGS)   	 Sanford L. Steelman, Jr.      	 REP	   619	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 CT OF APPEALS JUDGE (BRYANT)  	 Ann Marie Calabria            	 REP	   621	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 CT OF APPEALS JUDGE (BRYANT)  	 Wanda G. Bryant               	 DEM	   249	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 CT OF APPEALS JUDGE (CAMPBELL)	 Eric Levinson                 	 REP	   586	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 CT OF APPEALS JUDGE (CAMPBELL)	 Hugh Brown Campbell, Jr.      	 DEM	   282	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 CT OF APPEALS JUDGE (THOMAS)  	 Bill Constangy                	 REP	   607	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 CT OF APPEALS JUDGE (THOMAS)  	 Martha Geer                   	 DEM	   278	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 CT OF APPEALS JUDGE (WALKER)  	 George R. Barrett             	 DEM	   265	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 CT OF APPEALS JUDGE (WALKER)  	 Rick Elmore                   	 REP	   643	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 D CT JUDGE(15A) (ALLEN)       	 Brad Allen                    	    	   609	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 D CT JUDGE(15A) (ALLEN)       	 David Barber                  	    	   322	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 DISTRICT ATTORNEY (15A)       	 Robert F. (Rob) Johnson       	 DEM	   689	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 NC HOUSE (63)                 	 Alice Bordsen                 	 DEM	   306	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 NC HOUSE (63)                 	 Robert E. (Rob) Sharpe, Jr.   	 REP	   680	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 NC HOUSE (64)                 	 Cary D. Allred                	 REP	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 NC SENATE  (24)               	 Bill Powell                   	 DEM	   356	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 NC SENATE  (24)               	 Hugh Webster                  	 REP	   675	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 SUPERIOR COURT JUDGE (15A)    	 J. B. Allen, Jr.              	    	   744	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 SUPERIOR COURT JUDGE (15A)    	 James C. (Jack) Spencer, Jr.  	    	   430	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 SUPREME COURT (BUTTERFIELD)   	 Edward Thomas Brady           	 REP	   659	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 SUPREME COURT (BUTTERFIELD)   	 G. K. Butterfield             	 DEM	   262	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 SUPREME COURT (ORR)           	 Bob Hunter                    	 DEM	   252	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 SUPREME COURT (ORR)           	 Robert F. (Bob) Orr           	 REP	   681	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 US HOUSE (13TH DISTRICT)      	 Alex MacDonald                	 LIB	     0	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	 03C   	 CENTRAL BOONE                                	 US HOUSE (13TH DISTRICT)      	 Brad Miller                   	 DEM	     0	 2002-11-20 13:31:36.310
